101 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.88,196.0,2361.07,168.82364832000002
116 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.95,111.38911121000001,2360.96,30.0
2360.94,168.0,2360.97,34.0
2360.93,225.0,2360.98,47.0
2360.92,214.0,2360.99,56.0
2360.91,229.0,2361.0,101.0
2360.9,202.90429176,2361.01,159.0
2360.89,204.0,2361.02,129.0
2360.88,210.0,2361.03,156.0
2360.87,235.0,2361.04,181.0
2360.86,185.0,2361.05,191.0
117 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.94,10.38911121000001,2360.95,22.0
2360.93,225.0,2360.96,62.0
2360.92,215.0,2360.97,72.0
2360.91,232.0,2360.98,99.0
2360.9,205.90429176,2360.99,105.0
2360.89,207.0,2361.0,147.0
2360.88,220.0,2361.01,193.0
2360.87,253.0,2361.02,156.0
2360.86,197.0,2361.03,192.0
2360.85,249.0,2361.04,211.0
118 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.92,172.38911121,2360.93,17.0
2360.91,233.0,2360.94,26.0
2360.9,205.90429176,2360.95,50.0
2360.89,210.0,2360.96,86.0
2360.88,230.0,2360.97,113.0
2360.87,266.0,2360.98,154.0
2360.86,204.0,2360.99,145.0
2360.85,269.0,2361.0,182.0
2360.84,284.0,2361.01,228.0
2360.83,242.0,2361.02,181.0
119 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.91,128.38911121,2360.92,25.0
2360.9,205.90429176,2360.93,55.0
2360.89,210.0,2360.94,73.0
2360.88,233.0,2360.95,78.0
2360.87,271.0,2360.96,128.0
2360.86,212.0,2360.97,160.0
2360.85,279.0,2360.98,186.0
2360.84,295.0,2360.99,179.0
2360.83,246.0,2361.0,217.0
2360.82,269.0,2361.01,260.0
120 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.9,38.29340297000002,2360.91,33.0
2360.89,210.0,2360.92,56.0
2360.88,233.0,2360.93,82.0
2360.87,271.0,2360.94,118.0
2360.86,213.0,2360.95,118.0
2360.85,284.0,2360.96,163.0
2360.84,300.0,2360.97,191.0
2360.83,256.0,2360.98,222.0
2360.82,287.0,2360.99,211.0
2360.81,262.0,2361.0,244.0
121 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.88,233.0,2360.89,22.706597029999983
2360.87,271.0,2360.9,33.0
2360.86,213.0,2360.91,65.0
2360.85,288.0,2360.92,92.0
2360.84,305.0,2360.93,125.0
2360.83,268.0,2360.94,154.0
2360.82,294.0,2360.95,158.0
2360.81,273.0,2360.96,201.0
2360.8,322.5662697,2360.97,217.0
2360.79,286.0,2360.98,254.0
122 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.87,211.0,2360.88,28.0
2360.86,213.0,2360.89,55.70659702999998
2360.85,288.0,2360.9,71.0
2360.84,310.0,2360.91,95.0
2360.83,275.0,2360.92,132.0
2360.82,300.0,2360.93,168.0
2360.81,279.0,2360.94,185.0
2360.8,334.5662697,2360.95,190.0
2360.79,299.0,2360.96,230.0
2360.78,347.0,2360.97,258.0
123 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.86,110.0,2360.87,31.0
2360.85,289.0,2360.88,63.0
2360.84,310.0,2360.89,80.70659702999998
2360.83,279.0,2360.9,120.0
2360.82,302.0,2360.91,139.0
2360.81,288.0,2360.92,179.0
2360.8,348.5662697,2360.93,197.0
2360.79,308.0,2360.94,216.0
2360.78,363.0,2360.95,226.0
2360.77,320.0,2360.96,249.0
124 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.85,103.0,2360.86,29.0
2360.84,310.0,2360.87,61.0
2360.83,280.0,2360.88,105.0
2360.82,302.0,2360.89,109.70659702999998
2360.81,290.0,2360.9,164.0
2360.8,357.5662697,2360.91,169.0
2360.79,313.0,2360.92,209.0
2360.78,373.0,2360.93,234.0
2360.77,328.0,2360.94,240.0
2360.76,320.0,2360.95,263.0
125 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.84,125.0,2360.85,19.0
2360.83,280.0,2360.86,67.0
2360.82,302.0,2360.87,106.0
2360.81,293.0,2360.88,139.0
2360.8,358.5662697,2360.89,153.70659702999998
2360.79,321.0,2360.9,207.0
2360.78,383.0,2360.91,193.0
2360.77,342.0,2360.92,241.0
2360.76,335.0,2360.93,270.0
2360.75,336.0,2360.94,260.0
126 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.83,109.0,2360.84,38.0
2360.82,302.0,2360.85,55.0
2360.81,293.0,2360.86,110.0
2360.8,358.5662697,2360.87,136.0
2360.79,324.0,2360.88,177.0
2360.78,388.0,2360.89,191.70659702999998
2360.77,348.0,2360.9,245.0
2360.76,338.0,2360.91,220.0
2360.75,346.0,2360.92,280.0
2360.74,366.0,2360.93,300.0
127 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.82,114.0,2360.83,33.0
2360.81,293.0,2360.84,73.0
2360.8,360.5662697,2360.85,90.0
2360.79,326.0,2360.86,156.0
2360.78,392.0,2360.87,167.0
2360.77,354.0,2360.88,225.0
2360.76,349.0,2360.89,228.70659702999998
2360.75,356.0,2360.9,282.0
2360.74,384.0,2360.91,257.0
2360.73,392.0,2360.92,305.0
128 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.81,101.0,2360.82,33.0
2360.8,360.5662697,2360.83,68.0
2360.79,327.0,2360.84,100.0
2360.78,393.0,2360.85,122.0
2360.77,362.0,2360.86,201.0
2360.76,353.0,2360.87,211.0
2360.75,362.0,2360.88,253.0
2360.74,396.0,2360.89,265.70659703
2360.73,406.0,2360.9,319.0
2360.72,367.0,2360.91,286.0
129 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.8,155.56626970000002,2360.81,21.0
2360.79,327.0,2360.82,59.0
2360.78,393.0,2360.83,108.0
2360.77,364.0,2360.84,135.0
2360.76,357.0,2360.85,148.0
2360.75,367.0,2360.86,242.0
2360.74,402.0,2360.87,245.0
2360.73,420.0,2360.88,291.0
2360.72,378.0,2360.89,283.70659703
2360.71,349.0,2360.9,349.0
130 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.79,162.56626970000002,2360.8,21.0
2360.78,393.0,2360.81,63.0
2360.77,365.0,2360.82,97.0
2360.76,358.0,2360.83,138.0
2360.75,370.0,2360.84,176.0
2360.74,411.0,2360.85,181.0
2360.73,423.0,2360.86,272.0
2360.72,387.0,2360.87,292.0
